barrio;suma
NUÑEZ;733
PALERMO;10903
RECOLETA;4863
CHACARITA;594
ALMAGRO;1255
VILLA CRESPO;1168
PUERTO MADERO;362
CABALLITO;725
SAAVEDRA;229
BELGRANO;1840
COGHLAN;122
VILLA URQUIZA;403
COLEGIALES;764
VILLA ORTUZAR;127
VILLA PUEYRREDON;65
PARQUE CHAS;68
RETIRO;1564
VILLA DEVOTO;110
AGRONOMIA;46
PATERNAL;50
VILLA DEL PARQUE;129
BALVANERA;1164
SAN NICOLAS;2112
VILLA GRAL. MITRE;36
MONSERRAT;1601
VILLA SANTA RITA;36
MONTE CASTRO;10
FLORES;156
SAN TELMO;909
FLORESTA;51
CONSTITUCION;430
SAN CRISTOBAL;227
BOEDO;98
VILLA REAL;2
VELEZ SARSFIELD;19
BOCA;108
VERSALLES;7
VILLA LURO;28
BARRACAS;273
PARQUE CHACABUCO;73
PARQUE PATRICIOS;84
LINIERS;22
PARQUE AVELLANEDA;15
NUEVA POMPEYA;12
MATADEROS;33
VILLA LUGANO;7
VILLA RIACHUELO;3
